Ashanti,Adansi North,ADANSI ASOKWA,ABOABO,F021801A,L/A PRIM SCH ABOABO NO2 (A)
Ashanti,Adansi North,ADANSI ASOKWA,ABOABO,F021801B,L/A PRIM SCH ABOABO NO2 (B)
Ashanti,Adansi North,ADANSI ASOKWA,ABOABO,F021802,L/A PRIM SCH ABOABO NO1
Ashanti,Adansi North,ADANSI ASOKWA,ABOABO,F021803,L/A PRIM SCH NYANKOMASU
Ashanti,Adansi North,ADANSI ASOKWA,ABOABO,F021804,L/A PRIM SCH NKONSA
Ashanti,Adansi North,ADANSI ASOKWA,AKWANSEREM,F023201,J S S AKWANSEREM
Ashanti,Adansi North,ADANSI ASOKWA,AKWANSEREM,F023202,L/A PRIM SCH AYAKOA
Ashanti,Adansi North,ADANSI ASOKWA,ANHWIASO,F023101,L/A ANHWIASO
Ashanti,Adansi North,ADANSI ASOKWA,ANHWIASO,F023102,J S S ANHWIASO
Ashanti,Adansi North,ADANSI ASOKWA,ANHWIASO,F023103,L/A PRIM SCH BADWE
Ashanti,Adansi North,ADANSI ASOKWA,ANSA,F022801,L/A PRIM SCH ANSA
Ashanti,Adansi North,ADANSI ASOKWA,ANSA,F022802,L/A PRIM SCH DASUBIMADWENE
Ashanti,Adansi North,ADANSI ASOKWA,ANWONA,F023401A,L/A PRIM SCH ANWONA (A)
Ashanti,Adansi North,ADANSI ASOKWA,ANWONA,F023401B,L/A PRIM SCH ANWONA (B)
Ashanti,Adansi North,ADANSI ASOKWA,ANWONA,F023402,L/A PRIM SCH MENSAHKROM
Ashanti,Adansi North,ADANSI ASOKWA,ANWONA,F023403,L/A PRIM BIAKWASO
Ashanti,Adansi North,ADANSI ASOKWA,ANWONA,F023404,L/A PRIM AKROMASO
Ashanti,Adansi North,ADANSI ASOKWA,ANWONA,F023405,ADOPOSO D/A PRIM
Ashanti,Adansi North,ADANSI ASOKWA,ASIRIFIKROM,F023001,L/A PRIM SCH ASIRIFIKROM
Ashanti,Adansi North,ADANSI ASOKWA,ASIRIFIKROM,F023002,L/A PRIM SCH FUMSO-KETEWA
Ashanti,Adansi North,ADANSI ASOKWA,ASIRIFIKROM,F023003,L/A PRIM SCH MOSIKROM
Ashanti,Adansi North,ADANSI ASOKWA,ASOKWA,F022101,L/A J S S '3' ASOKWA
Ashanti,Adansi North,ADANSI ASOKWA,ASOKWA,F022102,L/A J S S '1' ASOKWA
Ashanti,Adansi North,ADANSI ASOKWA,ASOKWA,F022103,L/A J S S '2' ASOKWA
Ashanti,Adansi North,ADANSI ASOKWA,ASOKWA,F022104,L/A PRIM SCH ASOKWA (1)
Ashanti,Adansi North,ADANSI ASOKWA,ASOKWA,F022105,L/A PRIM SCH ASOKWA  (2)
Ashanti,Adansi North,ADANSI ASOKWA,BODWESANGO EAST,F021601,METH CHURCH BODWESANGO NO. 1
Ashanti,Adansi North,ADANSI ASOKWA,BODWESANGO EAST,F021602,METH CHURCH BODWESANGO NO. 2
Ashanti,Adansi North,ADANSI ASOKWA,BODWESANGO WEST,F021501,J S S BODWESANGO
Ashanti,Adansi North,ADANSI ASOKWA,BODWESANGO WEST,F021502,S D A PRIM SCH BODWESANGO
Ashanti,Adansi North,ADANSI ASOKWA,BROFOYEDRU EAST,F022201,J S S BROFOYEDRU
Ashanti,Adansi North,ADANSI ASOKWA,BROFOYEDRU EAST,F022202,J S S BROFOYEDRU
Ashanti,Adansi North,ADANSI ASOKWA,BROFOYEDRU EAST,F022203,L/A PRIM BROFOYEDRU
Ashanti,Adansi North,ADANSI ASOKWA,BROFOYEDRU EAST,F022204,L/A PRIM SCH OLD ATATAM
Ashanti,Adansi North,ADANSI ASOKWA,BROFOYEDRU WEST,F022301,UNITED J S S 1 BROFOYEDRU
Ashanti,Adansi North,ADANSI ASOKWA,BROFOYEDRU WEST,F022302,UNITED J S S (2) BROFOYEDRU
Ashanti,Adansi North,ADANSI ASOKWA,BROFOYEDRU WEST,F022303,UNITED J S S (3) BROFOYEDRU
Ashanti,Adansi North,ADANSI ASOKWA,FUMSO,F022601,L/A J S S '1' FUMSO
Ashanti,Adansi North,ADANSI ASOKWA,FUMSO,F022602,L/A J S S (2) FUMSO
Ashanti,Adansi North,ADANSI ASOKWA,FUMSO,F022603,L/A PRIM FUMSO
Ashanti,Adansi North,ADANSI ASOKWA,FUMSO,F022604,TEMP BOOTH NYAMEBEKYERE
Ashanti,Adansi North,ADANSI ASOKWA,HWEREMOASE,F022401,METH PRIM HWEREMOASE
Ashanti,Adansi North,ADANSI ASOKWA,HWEREMOASE,F022402,L/A J S S HWEREMOASE
Ashanti,Adansi North,ADANSI ASOKWA,HWEREMOASE,F022403,L/A PRIM SCH CHIRABROSO
Ashanti,Adansi North,ADANSI ASOKWA,HWEREMOASE,F022404,L A PRIM SCH BUKRUWASO
Ashanti,Adansi North,ADANSI ASOKWA,NEW AKROFUOM,F023301,J S S NEW AKROFUOM
Ashanti,Adansi North,ADANSI ASOKWA,NEW AKROFUOM,F023302,L/A PRIM AKROFUOM
Ashanti,Adansi North,ADANSI ASOKWA,NEW AKROFUOM,F023303,L/A PRIM KONSIMWAA
Ashanti,Adansi North,ADANSI ASOKWA,NKWANTA,F023501,L/A PRIM SCH KOJO NKWANTA
Ashanti,Adansi North,ADANSI ASOKWA,NKWANTA,F023502,L/A PRIM SCH AGOGOOSO
Ashanti,Adansi North,ADANSI ASOKWA,NKWANTA,F023503,L/A PRIM SCH PEWODIE
Ashanti,Adansi North,ADANSI ASOKWA,NKWANTA,F023504,L/A PRIM SCH DUAPONPO
