Northern,Bole,BABATOR,L/A Prim. Sch. Babator
Northern,Bole,BALE,R/C Prim. Sch. Bale
Northern,Bole,BAMBOI,ZongoBamboi
Northern,Bole,BANDA-NKWANTA,L/A Prim. Sch. Banda-Nkwanta
Northern,Bole,CHACHE,R/C Prim. Sch. Zantege
Northern,Bole,CHIBRINYOA,L/A Prim. Sch. Chibrinyoa
Northern,Bole,CHORIBANG,BOSEC
Northern,Bole,DOLI,D/A Prim. Sch. Doli
Northern,Bole,GBENFU,R/C Prim. Sch. Gbenfu
Northern,Bole,JAMA,L/A Prim. Sch. Jama
Northern,Bole,KABLIMA,L/A Prim. Sch. Dakrupe
Northern,Bole,KAKIASI,L/A Prim. Sch. Kakiasi
Northern,Bole,KORUPE,Korupe Mosque Bole
Northern,Bole,KWAME-KWASI,L/A Prim. Sch. Kwame-kwasi
Northern,Bole,MALUWE,L/A Prim. Sch. Maluwe
Northern,Bole,MANDARI,Second Mosque Mandari
Northern,Bole,MANKUMA,R/C Prim. Sch. Mankuma
Northern,Bole,MEMPEASEM,Home Science Centre
Northern,Bole,NYIMANGE,Community Centre
Northern,Bole,SERIPE,R/C Prim. Sch. Seripe
Northern,Bole,SONYO,L/A Prim. Sch. Sonyo
Northern,Bole,TESELIMA,L/A Prim. Sch. Carpenter
Northern,Bole,TINGA,L/A Prim. Sch. Tinga (A)
Northern,Bole,WAKAWAKA,L/A Prim. Sch. Wakawaka
Northern,Bole,YELWA,District Office
Northern,Bole,ZAKALA,Methodist Church
Northern,East Gonja,ABRUMASE,L/A PRIM SCH ABRUMASE 'A'
Northern,East Gonja,BANVIM,TEMP BOOTH SAKPALUA
Northern,East Gonja,BAU,VRA OFFICE BAU
Northern,East Gonja,BUNJAI,L/A PRIM BUNJAI
Northern,East Gonja,DABOGSE,TEMP BOOTH DABOGSE
Northern,East Gonja,DAGOMBA SECTION,PAPANONO POLICE RENTED HOUSE
Northern,East Gonja,FUU,L/A PRIM SCH FUU
Northern,East Gonja,GBETEKPO,TEMP BOOTH JANGALINE
Northern,East Gonja,GBUN,L/A PRIM SCH GBUN
Northern,East Gonja,GRUNSHIE -ZONGO,L/A PRIM GRUNSHIE-ZONGO
Northern,East Gonja,JANTON-DASIE,T/B JANTON-DASIE
Northern,East Gonja,JEMTUTU,L/A PRIM JEMTUTU
Northern,East Gonja,KAFABA NO. 1,L/A PRIM SCH KAKOSE
Northern,East Gonja,KALANDE,PRESBY PRIM SCH KALANDE
Northern,East Gonja,KATANGA,L/A PRIM SCH KATANGA
Northern,East Gonja,KAYERESO,L/A PRIM SCH KAYERESO
Northern,East Gonja,KFABA NO. 2,KAFABA CHIEF PALACE
Northern,East Gonja,KIDENGI,TEMP BOOTH LATINKPA
Northern,East Gonja,KIJEW,"MARKET SQUARE, KIJEW BATTOR"
Northern,East Gonja,KITO,TEMP BOOTH KUWANI
Northern,East Gonja,KPANSHEGU,L/A PRIM SCH KPANSHEGU
Northern,East Gonja,KPEMBE,L/A PRIM SCH KPEMBE
Northern,East Gonja,LAMSA,L/A PRIM SCH LAMSA
Northern,East Gonja,LIBI,TEMP BOOTH LIBI
Northern,East Gonja,MACHERA,NEW MARKET CENTRE
Northern,East Gonja,MASAKA,L/A PRIM SCH MASAKA
Northern,East Gonja,NFABASO,SALAGA WURA'S PALACE
Northern,East Gonja,NGUA -ALHAJI,CHIEF IMAM'S HOUSE CENTRE
Northern,East Gonja,NGUA-KUKA,"TOWN HALL, SALAGA"
Northern,East Gonja,OLD MAKANGO,VRA OFFICE MAKANGO
Northern,East Gonja,SISIPE,L/A PRIM SISIPE
Northern,East Gonja,TALKPA,L/A PRIM TALKPA
Northern,East Gonja,WANGASE-TURU,T/B WANGASE-TURU
Northern,Gushegu,BOGU,L/A PRIMARY SCHOOL BOGU
Northern,Gushegu,DEMANKUNG,L/A PRIMARY SCHOOL DAMDABOLI
Northern,Gushegu,GARICHEFONG,HEALTH CENTRE (A) GUSHEGU
Northern,Gushegu,KATANI,R/C PRIMARY SCHOOL KATANI
Northern,Gushegu,KOLIK,L/A PRIMARY SCHOOL WAKPAN
Northern,Gushegu,KPANASHE/BOGU,METHODIST PRIMARY SCHOOL BOGU
Northern,Gushegu,KPUGI,R/C PRIMARY SCHOOL KPUGI
Northern,Gushegu,KUN-NAAYILI,MARIKAZIA DAY CARE CENTRE
Northern,Gushegu,MAAZIJUNG,L/A PRIMARY SCHOOL MAAZIJUNG
Northern,Gushegu,NABULI,L/A PRIMARY SCHOOL NABULI
Northern,Gushegu,NAKOHIGUGONG,CENTRAL MOSQUE GUSHEGU
Northern,Gushegu,NAKUNGA,METHODIST PRIMARY SCHOOL NAKUNGA
Northern,Gushegu,NAMONGBANI,L/A PRIMARY SCHOOL NAMONGBANI
Northern,Gushegu,NANSOWIA,L/A PRIMARY SCHOOL NANSOWIA
Northern,Gushegu,NAWUHUGU,R/C PRIM SCH NAWUHUGU (A)
Northern,Gushegu,SALAA,"L/A PRIMARY SCHOOL, SALAA"
Northern,Gushegu,SAMPEMO,L/A PRIMARY SCHOOL SAMPEMO
Northern,Gushegu,WAAWU,L/A PRIMARY SCHOOL WAAWU
Northern,Gushegu,ZANTEILI,R/C PRIMARY SCHOOL ZANTELI
Northern,Gushegu,ZULOGU,L/A PRIMARY SCHOOL ZULOGU
Northern,Karaga,BAGLI,BAGLI L/A PRIMARY SCHOOL
Northern,Karaga,BAGURUGU,L/A PRIM. BAGURUGU
Northern,Karaga,BINDULI,BINDULI METHODIST PRIMARY SCHOOL
